card_1,card_2,usage_count,win_rate_percent
Archers,Boss Bandit,4916,54.39
Barbarian Barrel,Executioner,4910,36.76
Bandit,Executioner,4910,47.09
Barbarian Barrel,Dark Prince,4910,43.42
Mega Knight,Royal Hogs,4905,51.85
Goblin Curse,Mega Knight,4905,54.43
Ice Golem,Mini P.E.K.K.A,4904,53.81
Mirror,Valkyrie,4902,53.12
Cannon,Mighty Miner,4901,49.48
Hunter,Mini P.E.K.K.A,4901,53.89
Firecracker,Tombstone,4880,54.73
Freeze,Tesla,4870,51.79
Balloon,Rage,4863,52.66
Skeleton Barrel,Wall Breakers,4860,49.96
Electro Spirit,Spear Goblins,4843,34.5
Fire Spirit,Minions,4842,34.72
Balloon,Giant Skeleton,4837,32.17
Ice Wizard,Wizard,4834,54.32
Electro Wizard,Goblin Curse,4822,36.21
Archers,Mega Minion,4816,53.18
Goblin Hut,Inferno Dragon,4810,51.1
Bomber,Goblin Gang,4807,50.28
Bomber,Electro Spirit,4807,36.95
Poison,Wizard,4807,45.0
Goblin Cage,Tornado,4807,29.35
Mini P.E.K.K.A,Poison,4803,52.78
Boss Bandit,Ram Rider,4797,36.04
Poison,Tesla,4796,50.25
Hog Rider,Mega Minion,4795,53.85
Cannon,Earthquake,4795,46.76
Minion Horde,Tesla,4794,45.6
Golem,Lightning,4793,30.48
Bomb Tower,Skeletons,4790,42.11
Firecracker,Freeze,4787,50.3
Cannon,Goblins,4787,52.52
Ice Wizard,Princess,4781,54.86
Giant,Goblin Barrel,4774,51.32
Goblin Curse,Mini P.E.K.K.A,4770,53.63
Electro Wizard,Mega Minion,4763,39.93
Mini P.E.K.K.A,Mother Witch,4763,46.13
Bomber,Golem,4758,42.12
Golem,Mini P.E.K.K.A,4752,53.96
Arrows,Hunter,4738,51.08
Golden Knight,Prince,4735,52.71
Dart Goblin,Royal Delivery,4732,53.44
Barbarians,Skeletons,4728,60.77
Cannon,Lumberjack,4725,54.46
Bats,Tombstone,4722,55.74
Goblin Gang,Poison,4721,39.36
Guards,Ram Rider,4717,46.3
Cannon,Miner,4705,49.67
Goblin Gang,Goblin Hut,4703,33.81
Minions,Wall Breakers,4697,53.48
Lava Hound,Mega Minion,4697,28.89
Electro Spirit,Inferno Dragon,4697,57.38
Electro Wizard,Ice Wizard,4694,53.86
Arrows,Poison,4691,31.19
Mega Knight,Mighty Miner,4685,54.32
Bats,Goblin Hut,4684,33.71
Ice Spirit,Skeleton King,4675,54.14
Minions,Poison,4669,41.36
Bandit,Elite Barbarians,4668,47.41
Barbarian Barrel,Princess,4667,52.24
Cannon,Freeze,4666,47.56
Lumberjack,Princess,4665,54.88
Goblin Cage,The Log,4659,55.16
Minion Horde,Princess,4645,54.79
Giant Snowball,Poison,4638,24.75
Goblin Curse,Witch,4636,52.7
Giant Skeleton,Inferno Dragon,4632,39.62
Knight,Royal Hogs,4626,52.2
Goblin Barrel,Mirror,4615,51.09
Miner,Minions,4614,50.02
Fire Spirit,Musketeer,4613,39.22
Bomber,Fire Spirit,4606,29.11
Bowler,The Log,4606,54.45
Lumberjack,Minions,4605,54.16
Knight,Sparky,4594,56.36
Princess,Ram Rider,4593,56.15
Boss Bandit,Giant Snowball,4591,36.64
Poison,Spear Goblins,4586,20.54
Boss Bandit,Inferno Dragon,4581,52.13
Elite Barbarians,P.E.K.K.A,4576,51.38
Hunter,Mega Knight,4575,52.48
Fireball,Sparky,4574,54.74
Lumberjack,Rage,4571,43.67
Fire Spirit,Ice Spirit,4565,43.0
Dark Prince,Skeletons,4564,56.64
Guards,Skeleton Barrel,4558,43.79
Graveyard,The Log,4551,51.53
Goblin Hut,Graveyard,4551,44.39
Cannon,Elite Barbarians,4541,55.21
Ice Golem,Witch,4540,56.15
Royal Ghost,Skeleton Barrel,4536,53.44
Archers,Bandit,4530,49.14
Ice Spirit,X-Bow,4529,50.06
Bandit,Dark Prince,4527,47.21
Bats,Royal Giant,4521,48.11
Little Prince,Mini P.E.K.K.A,4521,56.58
Magic Archer,Wall Breakers,4521,41.78
Elite Barbarians,Executioner,4516,54.98
Battle Ram,Rocket,4514,35.91
Hog Rider,Poison,4514,55.58
Executioner,Golden Knight,4506,54.9
Berserker,Mini P.E.K.K.A,4503,46.1
Inferno Dragon,Tombstone,4498,57.4
Guards,Royal Giant,4496,48.47
Goblin Gang,Ram Rider,4496,49.42
Clone,Goblin Barrel,4494,41.7
Princess,Skeleton King,4493,53.06
Goblin Gang,Minion Horde,4488,49.26
Battle Ram,Dart Goblin,4481,55.23
Elite Barbarians,Mega Minion,4479,39.7
Elite Barbarians,Golem,4473,38.43
Giant Skeleton,Sparky,4473,45.16
Goblin Gang,Rage,4472,52.53
Archers,Dark Prince,4462,53.29
Miner,Princess,4451,55.58
Dart Goblin,Royal Hogs,4446,50.92
Barbarian Barrel,Boss Bandit,4444,35.89
Clone,Minion Horde,4420,43.19
Electro Dragon,Firecracker,4418,48.73
Royal Hogs,Skeletons,4412,46.17
Goblin Hut,Vines,4397,51.67
Bomber,Ice Spirit,4395,52.38
Giant Skeleton,Minion Horde,4395,44.91
Bomb Tower,Royal Ghost,4392,60.5
Dark Prince,Giant Snowball,4381,43.76
Fire Spirit,Mega Knight,4380,54.52
Electro Spirit,Prince,4375,56.16
Goblin Cage,Inferno Dragon,4373,46.22
Golden Knight,Lumberjack,4370,49.84
Executioner,Minions,4369,54.27
Goblin Cage,Zap,4369,46.46
Boss Bandit,Princess,4368,52.59
Firecracker,Mirror,4365,50.03
Hog Rider,Hunter,4365,52.53
Elixir Golem,Zap,4362,33.59
Dart Goblin,Royal Recruits,4359,47.97
Goblin Gang,Guards,4358,51.7
Firecracker,Minion Horde,4357,50.24
Boss Bandit,Guards,4354,44.46
Furnace,Tesla,4351,53.05
Giant Snowball,Zap,4343,37.95
Mega Knight,Royal Delivery,4341,53.56
Electro Wizard,Musketeer,4339,57.23
Freeze,Skeletons,4334,45.06
Cannon,Ram Rider,4331,56.59
Hunter,Royal Ghost,4331,48.9
Bats,Goblin Cage,4330,45.52
Night Witch,Skeleton Army,4329,43.52
Electro Dragon,Fireball,4325,55.4
Electro Giant,Lightning,4318,31.61
Elixir Golem,Mini P.E.K.K.A,4305,47.67
Baby Dragon,Bomb Tower,4302,55.72
Bats,Royal Hogs,4300,47.88
Elite Barbarians,Minion Horde,4290,54.9
Ice Spirit,Skeleton Barrel,4282,53.34
Knight,Skeleton Dragons,4281,52.16
Royal Recruits,Wizard,4281,54.19
Dark Prince,Goblin Cage,4277,35.89
Dark Prince,Ice Spirit,4275,55.63
Mini P.E.K.K.A,Royal Delivery,4272,52.9
Inferno Dragon,Lava Hound,4272,32.05
Electro Dragon,Prince,4270,55.78
Barbarian Barrel,Spear Goblins,4246,28.33
Guards,Wall Breakers,4244,51.89
Barbarians,Minion Horde,4244,49.76
Hog Rider,Miner,4240,55.02
Battle Ram,Firecracker,4235,54.85
Royal Delivery,Witch,4223,52.62
Giant,Lightning,4205,24.88
Goblin Barrel,Royal Recruits,4203,54.44
Ice Golem,Knight,4196,52.36
Little Prince,Witch,4189,57.29
Ice Spirit,Poison,4189,50.47
Dark Prince,Tornado,4187,36.42
Mega Minion,Royal Ghost,4181,62.04
Skeleton Barrel,Skeletons,4179,50.13
Barbarian Barrel,Mega Minion,4177,26.07
Archer Queen,Bandit,4174,37.35
Ice Wizard,Royal Ghost,4172,52.13
Miner,Musketeer,4162,49.3
Bats,Ram Rider,4161,52.49
Mighty Miner,Skeleton Army,4160,53.44
Lightning,Witch,4160,53.51
Cannon,Royal Giant,4160,51.01
Berserker,Dart Goblin,4160,51.44
Goblin Barrel,Poison,4159,54.1
Firecracker,Furnace,4159,53.79
Royal Giant,Tesla,4158,51.35
Goblin Hut,Ice Wizard,4157,46.52
Arrows,Mortar,4155,49.36
Electro Dragon,Royal Ghost,4153,53.89
Bowler,Electro Dragon,4153,31.45
Barbarians,Tesla,4144,52.65
Mega Knight,Royal Giant,4136,46.3
Dark Prince,Princess,4131,55.43
Balloon,Princess,4126,54.31
Cannon,Rage,4123,52.44
Bomb Tower,Musketeer,4115,44.71
Giant Skeleton,Zap,4105,53.42
Dart Goblin,Sparky,4098,52.37
Lightning,Mini P.E.K.K.A,4096,44.95
Ice Golem,Tesla,4093,51.8
Arrows,Little Prince,4093,54.09
Hog Rider,Sparky,4087,53.49
Mother Witch,Zap,4083,40.53
Skeleton King,Wall Breakers,4081,51.53
Vines,Wall Breakers,4081,51.8
Barbarian Barrel,Ice Golem,4079,37.07
Dart Goblin,Mighty Miner,4078,52.6
Giant Snowball,Miner,4077,36.84
Dart Goblin,Ice Golem,4075,52.61
Hog Rider,Skeleton Barrel,4074,53.68
Dark Prince,Vines,4070,56.98
Inferno Tower,Mega Minion,4070,45.77
Royal Ghost,Sparky,4070,55.7
Dark Prince,Mother Witch,4064,37.6
Hog Rider,Royal Hogs,4060,50.3
Goblin Barrel,Royal Delivery,4054,53.35
Balloon,Inferno Tower,4050,54.79
Bomb Tower,Spear Goblins,4049,39.15
Goblin Barrel,Mighty Miner,4049,54.19
Royal Ghost,Royal Recruits,4047,52.85
Lumberjack,Royal Ghost,4043,51.87
Goblin Gang,Royal Hogs,4036,46.41
Bats,Minions,4023,53.74
Bats,Golem,4022,43.29
Minion Horde,Rage,4019,51.38
Goblin Barrel,Little Prince,4015,57.09
Hunter,Royal Giant,4013,40.62
Elite Barbarians,Minions,4011,56.39
Baby Dragon,Clone,4006,40.36
Miner,Royal Ghost,4005,52.56
Firecracker,Ice Golem,3996,54.58
Graveyard,Vines,3987,50.44
Electro Spirit,Fisherman,3984,38.76
Mortar,Skeleton Army,3981,54.73
Goblin Cage,Ice Wizard,3978,29.96
Electro Dragon,Golem,3976,45.67
Goblin Gang,Mortar,3974,48.16
Skeleton Army,Tornado,3973,45.53
Goblin Hut,Wall Breakers,3971,29.56
Cannon,Poison,3968,50.53
Minions,Rage,3959,51.91
Electro Wizard,Tombstone,3958,57.15
Rage,Skeleton King,3953,45.03
Bomb Tower,Wall Breakers,3948,36.6
Goblin Barrel,Skeleton Dragons,3945,56.55
Dart Goblin,Goblins,3942,35.69
Golem,The Log,3940,52.97
Fireball,Hunter,3935,51.94
Arrows,Ice Golem,3934,52.82
Goblins,The Log,3933,54.59
Bandit,Lightning,3931,26.71
Bomber,Inferno Tower,3929,49.61
Battle Ram,Goblins,3928,62.3
Ice Golem,Mega Knight,3924,56.09
Prince,Sparky,3921,54.48
Lightning,Tombstone,3915,30.8
Cannon,Magic Archer,3912,51.94
Bats,Clone,3910,39.72
Baby Dragon,Bowler,3905,37.46
P.E.K.K.A,Spear Goblins,3887,53.85
Goblin Cage,Lightning,3884,31.69
Clone,Lumberjack,3880,40.15
Dark Prince,Musketeer,3880,58.09
Inferno Dragon,Lightning,3879,41.3
Freeze,Minions,3871,36.79
Goblin Barrel,Hunter,3867,50.87
Mighty Miner,Witch,3861,54.26
Skeleton King,Vines,3859,52.68
Giant,Rocket,3859,32.7
Electro Giant,Skeleton Army,3855,49.49
Arrows,Mighty Miner,3853,50.51
Bats,Magic Archer,3840,55.81
Mega Minion,Skeleton Dragons,3840,39.58
Baby Dragon,Skeleton Barrel,3834,51.7
Elixir Golem,The Log,3832,48.15
Magic Archer,Tornado,3831,39.52
Giant Snowball,Lumberjack,3826,46.42
Princess,Sparky,3825,53.86
Ice Spirit,Royal Hogs,3821,48.44
Executioner,Minion Horde,3820,53.66
Goblin Hut,Miner,3808,25.87
Lightning,Valkyrie,3807,49.01
Barbarian Barrel,Minions,3806,54.02
Goblin Gang,Royal Recruits,3803,44.1
Goblin Barrel,Ice Golem,3803,55.4
Hunter,Witch,3802,55.97
Electro Spirit,Vines,3798,53.11
Battle Ram,Guards,3785,59.6
Princess,Skeleton Barrel,3783,55.46
P.E.K.K.A,Tombstone,3776,50.93
Freeze,Giant Skeleton,3770,32.04
Golden Knight,Guards,3762,53.24
Berserker,Hog Rider,3760,53.22
Arrows,Berserker,3760,49.36
Fireball,Giant Skeleton,3760,53.64
Ice Spirit,Rage,3759,50.7
Giant,Inferno Dragon,3757,59.57
Dart Goblin,Fire Spirit,3755,49.19
Battle Ram,Fire Spirit,3754,34.12
Hunter,Valkyrie,3753,55.61
Baby Dragon,Royal Recruits,3752,52.21
Lumberjack,Vines,3751,52.47
Heal Spirit,Zap,3745,39.01
Executioner,Lightning,3742,32.15
Executioner,Inferno Tower,3740,55.0
Balloon,Lightning,3737,31.82
Barbarians,Rage,3732,51.88
Mini P.E.K.K.A,Mortar,3724,56.39
Arrows,Mother Witch,3722,46.91
Furnace,Zap,3722,55.59
Cannon,Furnace,3720,54.57
Giant Skeleton,Hog Rider,3715,55.69
Arrows,Heal Spirit,3715,32.19
Baby Dragon,Furnace,3711,53.09
Goblin Cage,Royal Ghost,3706,62.06
Barbarians,Miner,3699,40.06
Goblin Gang,Goblins,3698,32.15
Giant Snowball,Ice Golem,3696,44.32
Clone,Sparky,3694,41.93
Furnace,Royal Ghost,3694,53.87
Goblin Hut,Mega Knight,3680,54.78
Goblin Curse,The Log,3671,52.85
Electro Dragon,Wizard,3668,55.81
P.E.K.K.A,Rocket,3667,49.06
Firecracker,Little Prince,3650,56.36
Archers,Ice Wizard,3648,53.67
Executioner,Lumberjack,3644,54.91
Barbarians,Electro Spirit,3643,58.77
Barbarians,Freeze,3642,53.43
Berserker,Ice Spirit,3639,47.29
Berserker,Goblin Barrel,3639,51.99
Clone,Firecracker,3633,48.75
Little Prince,Valkyrie,3629,56.96
Bandit,Rage,3629,45.8
Lightning,The Log,3628,50.41
Golden Knight,Vines,3627,53.87
Lumberjack,Minion Horde,3626,53.01
Earthquake,Valkyrie,3625,48.97
Fisherman,Royal Ghost,3625,44.74
Clone,Tesla,3624,41.45
P.E.K.K.A,Sparky,3622,47.65
Battle Ram,Tesla,3620,55.41
Lava Hound,Valkyrie,3615,32.89
Knight,Little Prince,3613,55.85
Minions,Skeleton King,3610,53.07
Electro Giant,Inferno Dragon,3609,40.9
Baby Dragon,Giant Skeleton,3604,54.55
Fire Spirit,Goblins,3603,21.82
Magic Archer,Skeletons,3601,52.4
Electro Spirit,Princess,3596,52.7
Clone,Mega Knight,3596,50.14
Goblin Gang,Sparky,3589,49.48
Barbarians,Sparky,3587,50.82
Mortar,The Log,3583,53.34
Goblin Gang,Goblin Giant,3580,27.26
Royal Delivery,Valkyrie,3579,50.99
Giant Skeleton,Skeleton Barrel,3579,44.84
Magic Archer,Prince,3578,54.33
Witch,X-Bow,3575,50.52
Rocket,Royal Ghost,3567,55.48
Electro Spirit,Goblins,3566,29.73
Prince,Tombstone,3561,53.66
Royal Hogs,Tesla,3559,50.21
Night Witch,Tornado,3558,32.91
Battle Ram,Bomb Tower,3554,54.59
Princess,Tombstone,3548,54.43
Poison,Prince,3548,39.04
Hog Rider,Royal Giant,3545,52.75
Mini P.E.K.K.A,X-Bow,3544,50.73
Prince,Skeleton Barrel,3539,47.41
Lightning,Lumberjack,3528,32.57
Lightning,Mega Knight,3526,43.93
Royal Recruits,The Log,3522,54.83
P.E.K.K.A,Royal Recruits,3517,43.1
Flying Machine,Skeleton Army,3513,51.38
Skeletons,Tornado,3512,45.53
Fireball,Fisherman,3508,45.18
Bowler,Skeleton Army,3507,54.21
Hunter,Prince,3503,45.08
Electro Dragon,Ice Wizard,3496,39.19
Baby Dragon,Goblins,3492,55.73
Golden Knight,Minions,3489,53.43
Royal Hogs,Zap,3486,55.13
Dark Prince,Poison,3484,39.52
Elite Barbarians,Freeze,3484,53.13
Ice Spirit,Miner,3480,48.94
Magic Archer,Miner,3477,39.43
Electro Dragon,Skeletons,3477,53.09
Balloon,Bomb Tower,3473,34.35
Arrows,Fisherman,3472,42.31
Dart Goblin,Furnace,3471,54.83
Bomber,Princess,3463,54.89
Tesla,Tornado,3462,45.84
Bomber,Night Witch,3460,39.05
Goblin Hut,Zap,3452,54.61
Inferno Tower,Vines,3452,53.59
Fireball,Furnace,3438,55.12
Golden Knight,Royal Hogs,3429,39.57
Cannon,Electro Dragon,3427,54.48
Barbarians,Golden Knight,3427,53.6
Earthquake,Knight,3424,51.81
Mega Knight,Rocket,3423,51.97
Elite Barbarians,Vines,3420,53.51
Fisherman,Hunter,3420,38.13
Elixir Collector,Golem,3419,40.86
Hunter,Zap,3417,45.98
Ram Rider,Skeletons,3414,55.39
Archers,Royal Giant,3412,49.44
Goblin Gang,Mighty Miner,3411,52.92
Poison,Ram Rider,3406,32.77
Executioner,Rage,3403,52.45
Fireball,Mortar,3402,54.82
Royal Recruits,Valkyrie,3402,55.09
Baby Dragon,Magic Archer,3400,53.71
Poison,Vines,3399,50.54
Boss Bandit,P.E.K.K.A,3396,50.74
Suspicious Bush,The Log,3389,53.2
P.E.K.K.A,Skeleton King,3388,52.89
Furnace,Skeletons,3385,52.58
Lightning,Minions,3385,33.26
Balloon,Executioner,3382,52.99
Goblin Hut,Prince,3382,54.49
Bomber,Skeleton Dragons,3380,43.25
Golem,Wizard,3380,52.51
Barbarians,Electro Dragon,3379,52.12
Ice Wizard,Prince,3378,54.44
Guards,Royal Hogs,3376,51.27
Elite Barbarians,Wall Breakers,3375,52.18
Lightning,P.E.K.K.A,3375,36.56
Dart Goblin,Electro Dragon,3374,52.4
Rage,Vines,3373,50.79
Giant Snowball,Vines,3373,51.76
Baby Dragon,Berserker,3370,52.26
Firecracker,Poison,3367,54.89
Electro Wizard,Minion Horde,3362,55.98
Boss Bandit,Prince,3361,52.81
Cannon,Rocket,3356,51.61
Giant Snowball,Princess,3351,53.66
Giant Skeleton,Royal Ghost,3350,53.37
Skeleton Barrel,Vines,3349,52.34
Skeleton Army,Zappies,3349,51.99
Golden Knight,Ice Wizard,3344,52.72
Guards,Spear Goblins,3340,46.71
Giant,Miner,3337,25.02
Archer Queen,Bats,3336,37.95
Balloon,Bomber,3335,46.96
Bomb Tower,Guards,3335,38.05
Mega Knight,Tornado,3325,51.97
Prince,Rocket,3325,53.17
Electro Spirit,Hunter,3315,38.01
Clone,Wizard,3312,51.39
Inferno Dragon,Minion Horde,3309,53.55
Baby Dragon,Rocket,3307,52.25
Dark Prince,Spear Goblins,3307,40.34
Furnace,Goblin Gang,3305,54.74
Royal Delivery,Skeleton Army,3305,53.89
Furnace,Vines,3300,52.42
Balloon,Dark Prince,3297,53.96
Mighty Miner,Wall Breakers,3296,48.21
Elite Barbarians,Goblin Giant,3291,38.35
Clone,Skeleton Barrel,3287,48.13
Hunter,Skeletons,3286,46.56
Berserker,Cannon,3285,50.32
Golden Knight,Rage,3284,51.92
Elite Barbarians,Night Witch,3277,38.39
Baby Dragon,Skeleton Dragons,3276,53.45
Hog Rider,Royal Recruits,3276,53.94
Electro Wizard,Giant Skeleton,3272,53.27
Berserker,Valkyrie,3271,54.14
Archers,Ram Rider,3268,55.51
P.E.K.K.A,Wall Breakers,3265,54.52
Barbarians,Royal Recruits,3264,51.65
Mega Minion,Skeletons,3257,44.3
Lava Hound,Minions,3254,32.58
Mighty Miner,Mini P.E.K.K.A,3248,53.2
Mega Knight,Mother Witch,3245,51.34
Lava Hound,Lightning,3229,28.99
Ice Spirit,Spear Goblins,3222,45.81
Guards,Poison,3218,40.27
Firecracker,Royal Hogs,3218,50.25
Earthquake,Mighty Miner,3217,50.2
Baby Dragon,Fire Spirit,3213,49.21
Goblin Giant,Spear Goblins,3212,20.49
Princess,Rage,3211,53.07
Guards,Lumberjack,3209,53.76
Mirror,Rage,3209,45.62
Boss Bandit,Lightning,3207,28.13
Ice Golem,Valkyrie,3205,54.7
Bomb Tower,Giant Snowball,3204,36.89
Mega Minion,Tornado,3204,34.61
Goblins,Tombstone,3201,53.7
Golden Knight,Ram Rider,3200,53.56
Berserker,Firecracker,3199,42.7
Hog Rider,Little Prince,3198,55.91
Archer Queen,Skeletons,3196,47.18
Bats,Ice Golem,3183,54.07
Prince,Ram Rider,3181,57.25
Firecracker,Rocket,3181,53.29
Heal Spirit,Sparky,3179,36.49
Freeze,Guards,3178,47.92
Spear Goblins,Tesla,3177,49.39
Barbarian Barrel,Bomb Tower,3173,32.62
Goblin Gang,Magic Archer,3173,53.67
Guards,Lava Hound,3166,31.43
Prince,Royal Giant,3165,51.06
Dark Prince,Inferno Tower,3162,45.86
Golem,Prince,3161,35.59
Berserker,Mega Knight,3160,55.6
Goblin Cage,Golden Knight,3157,39.06
Dark Prince,Ice Wizard,3151,43.76
Electro Giant,Goblin Cage,3132,32.25
Ice Spirit,Royal Giant,3127,52.35
Furnace,Ice Spirit,3126,52.85
Giant Snowball,Mega Minion,3125,24.74
Electro Wizard,Heal Spirit,3123,38.84
Bandit,Cannon,3122,54.84
Electro Wizard,Lightning,3119,35.14
Bandit,Lumberjack,3118,56.74
Dart Goblin,Giant Skeleton,3118,56.74
Barbarian Barrel,Royal Giant,3118,41.95
Giant Skeleton,Skeletons,3116,47.14
Giant Skeleton,Knight,3114,57.74
Valkyrie,X-Bow,3114,50.71
Dark Prince,Electro Giant,3109,33.16
Fire Spirit,P.E.K.K.A,3106,49.45
Fire Spirit,Inferno Dragon,3106,48.29
Dart Goblin,Minion Horde,3104,50.93
Giant Snowball,Wall Breakers,3103,50.02
Guards,Rage,3101,48.02
Boss Bandit,Vines,3101,51.69
Golden Knight,Royal Recruits,3098,38.02
Ram Rider,Vines,3096,53.75
Flying Machine,Witch,3094,51.2
Balloon,Ice Golem,3089,43.48
Berserker,Skeletons,3089,45.58
Boss Bandit,Rage,3086,52.3
Mega Knight,Royal Recruits,3085,45.02
Elixir Golem,Skeleton King,3077,41.4
Graveyard,Mega Knight,3077,53.46
Electro Spirit,Electro Wizard,3065,51.39
Miner,Skeleton King,3065,47.37
Prince,Skeleton King,3063,52.4
Fireball,Golem,3057,52.31
Giant Snowball,Skeleton Barrel,3056,43.03
Giant Skeleton,Prince,3055,51.16
Mother Witch,The Log,3053,52.21
Archer Queen,Prince,3053,40.09
Dart Goblin,Magic Archer,3053,51.85
Archers,Skeleton Barrel,3052,55.34
Goblin Curse,Zap,3052,41.22
Inferno Dragon,Royal Giant,3052,52.1
Minion Horde,Royal Ghost,3051,54.15
Bats,Mortar,3049,46.8
Archers,Royal Hogs,3048,54.13
Goblin Barrel,Goblin Curse,3043,52.71
Bandit,Golden Knight,3043,49.29
Battle Ram,Goblin Gang,3040,53.39
Minions,Royal Giant,3040,54.11
Furnace,Wizard,3037,51.83
Arrows,Tornado,3037,43.73
Goblins,Royal Ghost,3023,60.44
Mega Minion,Mother Witch,3019,36.8
Fisherman,Skeletons,3018,43.11
Inferno Tower,Wall Breakers,3015,52.74
Barbarian Barrel,Inferno Tower,3015,48.96
Giant Skeleton,Guards,3014,41.47
Dark Prince,Electro Spirit,3013,47.16
Bandit,Ice Spirit,3011,54.63
Mother Witch,Witch,3011,50.38
Minion Horde,P.E.K.K.A,3004,50.63
Lightning,Skeletons,3004,44.24
Bats,Bomb Tower,3004,44.47
Knight,Mighty Miner,3002,52.1
Battle Healer,Witch,3002,52.53
Berserker,Tesla,3001,48.25
Fire Spirit,Royal Ghost,3000,60.6
Bomber,Tornado,2999,35.71
Boss Bandit,Wall Breakers,2998,52.67
Archers,Electro Dragon,2996,55.47
Mother Witch,Rage,2994,40.18
Bomb Tower,Dart Goblin,2992,53.91
Inferno Dragon,Magic Archer,2989,54.0
Freeze,Giant Snowball,2985,28.17
Tornado,Witch,2984,48.29
Archers,Freeze,2979,53.81
Lava Hound,Skeleton Army,2978,35.29
Electro Spirit,Rocket,2978,40.33
Barbarian Barrel,Furnace,2977,50.42
Executioner,Skeleton King,2974,52.96
Goblin Barrel,Mega Minion,2972,55.42
Lightning,Night Witch,2969,33.28
Rocket,Zap,2967,32.73
Bats,Night Witch,2960,38.85
Archer Queen,Zap,2960,42.53
Fire Spirit,Inferno Tower,2959,43.87
Mortar,Skeleton King,2958,45.13
Bowler,Mini P.E.K.K.A,2956,54.6
Night Witch,Skeleton King,2953,35.69
Berserker,Giant Snowball,2952,34.25
Barbarians,Skeleton King,2952,52.27
Guards,Ice Wizard,2950,52.27
Electro Spirit,Lightning,2950,30.31
Goblin Hut,Skeleton Dragons,2948,49.63
Dark Prince,Royal Hogs,2946,52.85
Elixir Collector,Lumberjack,2943,39.62
Electro Wizard,Royal Giant,2942,53.2
Bats,Furnace,2940,53.4
Musketeer,Vines,2925,52.65
Bomber,Giant Snowball,2925,47.35
Archers,Miner,2925,53.03
Executioner,Sparky,2924,52.91
Firecracker,Lightning,2922,37.34
Bowler,Hog Rider,2921,55.77
Inferno Tower,Skeleton Barrel,2920,49.59
Archer Queen,Wall Breakers,2916,39.51
Balloon,Elite Barbarians,2913,54.72
Ice Spirit,Ram Rider,2912,54.6
Bomb Tower,Inferno Dragon,2912,56.18
Berserker,Goblin Gang,2911,40.33
Berserker,Knight,2909,51.32
Freeze,Goblin Gang,2904,52.72
Clone,The Log,2903,49.57
Baby Dragon,Elixir Golem,2902,50.93
Battle Healer,Skeleton Army,2899,50.47
Freeze,Minion Horde,2898,42.62
Elite Barbarians,Golden Knight,2895,49.6
Electro Giant,The Log,2890,54.39
Goblin Gang,Royal Giant,2889,53.24
Rascals,The Log,2886,54.89
Fireball,Lava Hound,2881,32.8
Goblin Giant,Heal Spirit,2880,37.64
Dart Goblin,Goblin Giant,2880,32.36
Archer Queen,Cannon,2873,47.96
Executioner,Wall Breakers,2869,55.49
Bomber,Giant Skeleton,2868,44.11
Barbarian Barrel,Bomber,2866,43.55
Elite Barbarians,Inferno Tower,2861,53.72
Bomb Tower,Zap,2853,51.31
Mini P.E.K.K.A,Tornado,2852,47.02
Barbarians,Lumberjack,2851,50.61
Dark Prince,Magic Archer,2850,50.18
Mother Witch,Tornado,2847,34.04
Musketeer,Skeleton Dragons,2846,50.77
Freeze,Inferno Tower,2846,49.33
Barbarians,Royal Giant,2846,52.32
Clone,Mini P.E.K.K.A,2844,51.37
Musketeer,Wall Breakers,2844,54.85
Archers,Fire Spirit,2840,50.25
Elixir Collector,Tornado,2838,38.48
Battle Ram,Golden Knight,2837,47.94
Furnace,P.E.K.K.A,2837,54.49
Fireball,Mighty Miner,2836,53.6
Graveyard,Mini P.E.K.K.A,2833,51.18
Elixir Golem,Night Witch,2830,37.24
Bandit,Barbarians,2830,45.83
Fire Spirit,Tesla,2824,51.38
Cannon,Goblin Cage,2823,44.7
Firecracker,Royal Recruits,2821,50.48
Mother Witch,Sparky,2816,41.73
Mortar,Valkyrie,2815,55.88
Bandit,Skeletons,2814,54.51
Inferno Tower,Lumberjack,2809,55.36
Electro Giant,Mother Witch,2809,35.1
Miner,Tornado,2807,35.02
Earthquake,Royal Delivery,2803,47.34
Dart Goblin,Mirror,2791,48.26
Bomber,Electro Giant,2789,34.74
Barbarians,Elite Barbarians,2789,53.39
Golem,Guards,2786,33.88
Executioner,Tornado,2785,51.81
Furnace,Prince,2785,54.65
Inferno Dragon,Royal Recruits,2785,53.21
Dark Prince,Miner,2775,40.58
Mirror,Zap,2772,51.88
Firecracker,Tornado,2772,49.46
Minions,Ram Rider,2771,54.93
Goblin Gang,Lightning,2768,35.08
Golden Knight,Inferno Tower,2761,53.64
Knight,Mortar,2760,54.38
Hog Rider,Tornado,2759,51.36
Inferno Tower,Spear Goblins,2756,57.26
P.E.K.K.A,Royal Hogs,2755,50.02
Golden Knight,Zappies,2754,35.88
Guards,Hunter,2752,37.57
Heal Spirit,Royal Ghost,2748,34.35
Lightning,Wizard,2745,52.24
Little Prince,Tesla,2745,53.7
Archer Queen,Ice Spirit,2744,45.85
Electro Spirit,Tombstone,2740,50.58
Graveyard,Royal Ghost,2730,53.41
Goblin Curse,Wizard,2728,49.38
Boss Bandit,Minions,2725,54.46
Bandit,Boss Bandit,2725,38.75
Barbarian Barrel,Elixir Collector,2718,37.79
