card_1,card_2,usage_count,win_rate_percent,total_elixir_cost
Ice Spirit,Skeleton Barrel,4282,53.34,4.0
Knight,Skeleton Dragons,4281,52.16,7.0
Royal Recruits,Wizard,4281,54.19,12.0
Dark Prince,Goblin Cage,4277,35.89,8.0
Dark Prince,Ice Spirit,4275,55.63,5.0
Mini P.E.K.K.A,Royal Delivery,4272,52.9,7.0
Inferno Dragon,Lava Hound,4272,32.05,11.0
Electro Dragon,Prince,4270,55.78,10.0
Barbarian Barrel,Spear Goblins,4246,28.33,4.0
Guards,Wall Breakers,4244,51.89,5.0
Barbarians,Minion Horde,4244,49.76,10.0
Hog Rider,Miner,4240,55.02,7.0
Battle Ram,Firecracker,4235,54.85,7.0
Royal Delivery,Witch,4223,52.62,8.0
Giant,Lightning,4205,24.88,11.0
Goblin Barrel,Royal Recruits,4203,54.44,10.0
Ice Golem,Knight,4196,52.36,5.0
Little Prince,Witch,4189,57.29,8.0
Ice Spirit,Poison,4189,50.47,5.0
Dark Prince,Tornado,4187,36.42,7.0
Mega Minion,Royal Ghost,4181,62.04,6.0
Skeleton Barrel,Skeletons,4179,50.13,4.0
Barbarian Barrel,Mega Minion,4177,26.07,5.0
Archer Queen,Bandit,4174,37.35,8.0
Ice Wizard,Royal Ghost,4172,52.13,6.0
Miner,Musketeer,4162,49.3,7.0
Bats,Ram Rider,4161,52.49,7.0
Mighty Miner,Skeleton Army,4160,53.44,7.0
Lightning,Witch,4160,53.51,11.0
Cannon,Royal Giant,4160,51.01,9.0
Berserker,Dart Goblin,4160,51.44,5.0
Goblin Barrel,Poison,4159,54.1,7.0
Firecracker,Furnace,4159,53.79,7.0
Royal Giant,Tesla,4158,51.35,10.0
Goblin Hut,Ice Wizard,4157,46.52,7.0
Arrows,Mortar,4155,49.36,7.0
Electro Dragon,Royal Ghost,4153,53.89,8.0
Bowler,Electro Dragon,4153,31.45,10.0
Barbarians,Tesla,4144,52.65,9.0
Mega Knight,Royal Giant,4136,46.3,13.0
Dark Prince,Princess,4131,55.43,7.0
Balloon,Princess,4126,54.31,8.0
Cannon,Rage,4123,52.44,5.0
Bomb Tower,Musketeer,4115,44.71,8.0
Giant Skeleton,Zap,4105,53.42,8.0
Dart Goblin,Sparky,4098,52.37,9.0
Lightning,Mini P.E.K.K.A,4096,44.95,10.0
Ice Golem,Tesla,4093,51.8,6.0
Arrows,Little Prince,4093,54.09,6.0
Hog Rider,Sparky,4087,53.49,10.0
Mother Witch,Zap,4083,40.53,6.0
Skeleton King,Wall Breakers,4081,51.53,6.0
Vines,Wall Breakers,4081,51.8,5.0
Barbarian Barrel,Ice Golem,4079,37.07,4.0
Dart Goblin,Mighty Miner,4078,52.6,7.0
Giant Snowball,Miner,4077,36.84,5.0
Dart Goblin,Ice Golem,4075,52.61,5.0
Hog Rider,Skeleton Barrel,4074,53.68,7.0
Dark Prince,Vines,4070,56.98,7.0
Inferno Tower,Mega Minion,4070,45.77,8.0
Royal Ghost,Sparky,4070,55.7,9.0
Dark Prince,Mother Witch,4064,37.6,8.0
Hog Rider,Royal Hogs,4060,50.3,9.0
Goblin Barrel,Royal Delivery,4054,53.35,6.0
Balloon,Inferno Tower,4050,54.79,10.0
Bomb Tower,Spear Goblins,4049,39.15,6.0
Goblin Barrel,Mighty Miner,4049,54.19,7.0
Royal Ghost,Royal Recruits,4047,52.85,10.0
Lumberjack,Royal Ghost,4043,51.87,7.0
Goblin Gang,Royal Hogs,4036,46.41,8.0
Bats,Minions,4023,53.74,5.0
Bats,Golem,4022,43.29,10.0
Minion Horde,Rage,4019,51.38,7.0
Goblin Barrel,Little Prince,4015,57.09,6.0
Hunter,Royal Giant,4013,40.62,10.0
Elite Barbarians,Minions,4011,56.39,9.0
Baby Dragon,Clone,4006,40.36,7.0
Miner,Royal Ghost,4005,52.56,6.0
Firecracker,Ice Golem,3996,54.58,5.0
Graveyard,Vines,3987,50.44,8.0
Electro Spirit,Fisherman,3984,38.76,4.0
Mortar,Skeleton Army,3981,54.73,7.0
Goblin Cage,Ice Wizard,3978,29.96,7.0
Electro Dragon,Golem,3976,45.67,13.0
Goblin Gang,Mortar,3974,48.16,7.0
Skeleton Army,Tornado,3973,45.53,6.0
Goblin Hut,Wall Breakers,3971,29.56,6.0
Cannon,Poison,3968,50.53,7.0
Minions,Rage,3959,51.91,5.0
Electro Wizard,Tombstone,3958,57.15,7.0
Rage,Skeleton King,3953,45.03,6.0
Bomb Tower,Wall Breakers,3948,36.6,6.0
Goblin Barrel,Skeleton Dragons,3945,56.55,7.0
Dart Goblin,Goblins,3942,35.69,5.0
Golem,The Log,3940,52.97,10.0
Fireball,Hunter,3935,51.94,8.0
Arrows,Ice Golem,3934,52.82,5.0
Goblins,The Log,3933,54.59,4.0
Bandit,Lightning,3931,26.71,9.0
Bomber,Inferno Tower,3929,49.61,7.0
Battle Ram,Goblins,3928,62.3,6.0
Ice Golem,Mega Knight,3924,56.09,9.0
Prince,Sparky,3921,54.48,11.0
Lightning,Tombstone,3915,30.8,9.0
Cannon,Magic Archer,3912,51.94,7.0
Bats,Clone,3910,39.72,5.0
Baby Dragon,Bowler,3905,37.46,9.0
P.E.K.K.A,Spear Goblins,3887,53.85,9.0
Goblin Cage,Lightning,3884,31.69,10.0
Clone,Lumberjack,3880,40.15,7.0
Dark Prince,Musketeer,3880,58.09,8.0
Inferno Dragon,Lightning,3879,41.3,10.0
Freeze,Minions,3871,36.79,7.0
Goblin Barrel,Hunter,3867,50.87,7.0
Mighty Miner,Witch,3861,54.26,9.0
Skeleton King,Vines,3859,52.68,7.0
Giant,Rocket,3859,32.7,11.0
Electro Giant,Skeleton Army,3855,49.49,10.0
Arrows,Mighty Miner,3853,50.51,7.0
Bats,Magic Archer,3840,55.81,6.0
Mega Minion,Skeleton Dragons,3840,39.58,7.0
Baby Dragon,Skeleton Barrel,3834,51.7,7.0
Elixir Golem,The Log,3832,48.15,5.0
Magic Archer,Tornado,3831,39.52,7.0
Giant Snowball,Lumberjack,3826,46.42,6.0
Princess,Sparky,3825,53.86,9.0
Ice Spirit,Royal Hogs,3821,48.44,6.0
Executioner,Minion Horde,3820,53.66,10.0
Goblin Hut,Miner,3808,25.87,7.0
Lightning,Valkyrie,3807,49.01,10.0
Barbarian Barrel,Minions,3806,54.02,5.0
Goblin Gang,Royal Recruits,3803,44.1,10.0
Goblin Barrel,Ice Golem,3803,55.4,5.0
Hunter,Witch,3802,55.97,9.0
Electro Spirit,Vines,3798,53.11,4.0
Battle Ram,Guards,3785,59.6,7.0
Princess,Skeleton Barrel,3783,55.46,6.0
P.E.K.K.A,Tombstone,3776,50.93,10.0
Freeze,Giant Skeleton,3770,32.04,10.0
Golden Knight,Guards,3762,53.24,7.0
Berserker,Hog Rider,3760,53.22,6.0
Arrows,Berserker,3760,49.36,5.0
Fireball,Giant Skeleton,3760,53.64,10.0
Ice Spirit,Rage,3759,50.7,3.0
Giant,Inferno Dragon,3757,59.57,9.0
Dart Goblin,Fire Spirit,3755,49.19,4.0
Battle Ram,Fire Spirit,3754,34.12,5.0
Hunter,Valkyrie,3753,55.61,8.0
Baby Dragon,Royal Recruits,3752,52.21,11.0
Lumberjack,Vines,3751,52.47,7.0
Heal Spirit,Zap,3745,39.01,3.0
Executioner,Lightning,3742,32.15,11.0
Executioner,Inferno Tower,3740,55.0,10.0
Balloon,Lightning,3737,31.82,11.0
Barbarians,Rage,3732,51.88,7.0
Mini P.E.K.K.A,Mortar,3724,56.39,8.0
Arrows,Mother Witch,3722,46.91,7.0
Furnace,Zap,3722,55.59,6.0
Cannon,Furnace,3720,54.57,7.0
Giant Skeleton,Hog Rider,3715,55.69,10.0
Arrows,Heal Spirit,3715,32.19,4.0
Baby Dragon,Furnace,3711,53.09,8.0
Goblin Cage,Royal Ghost,3706,62.06,7.0
Barbarians,Miner,3699,40.06,8.0
Goblin Gang,Goblins,3698,32.15,5.0
Giant Snowball,Ice Golem,3696,44.32,4.0
Clone,Sparky,3694,41.93,9.0
Furnace,Royal Ghost,3694,53.87,7.0
Goblin Hut,Mega Knight,3680,54.78,11.0
Goblin Curse,The Log,3671,52.85,4.0
Electro Dragon,Wizard,3668,55.81,10.0
P.E.K.K.A,Rocket,3667,49.06,13.0
Firecracker,Little Prince,3650,56.36,6.0
Archers,Ice Wizard,3648,53.67,6.0
Executioner,Lumberjack,3644,54.91,9.0
Barbarians,Electro Spirit,3643,58.77,6.0
Barbarians,Freeze,3642,53.43,9.0
Berserker,Ice Spirit,3639,47.29,3.0
Berserker,Goblin Barrel,3639,51.99,5.0
Clone,Firecracker,3633,48.75,6.0
Little Prince,Valkyrie,3629,56.96,7.0
Bandit,Rage,3629,45.8,5.0
Lightning,The Log,3628,50.41,8.0
Golden Knight,Vines,3627,53.87,7.0
Lumberjack,Minion Horde,3626,53.01,9.0
Earthquake,Valkyrie,3625,48.97,7.0
Fisherman,Royal Ghost,3625,44.74,6.0
Clone,Tesla,3624,41.45,7.0
P.E.K.K.A,Sparky,3622,47.65,13.0
Battle Ram,Tesla,3620,55.41,8.0
Lava Hound,Valkyrie,3615,32.89,11.0
Knight,Little Prince,3613,55.85,6.0
Minions,Skeleton King,3610,53.07,7.0
Electro Giant,Inferno Dragon,3609,40.9,11.0
Baby Dragon,Giant Skeleton,3604,54.55,10.0
Fire Spirit,Goblins,3603,21.82,3.0
Magic Archer,Skeletons,3601,52.4,5.0
Electro Spirit,Princess,3596,52.7,4.0
Clone,Mega Knight,3596,50.14,10.0
Goblin Gang,Sparky,3589,49.48,9.0
Barbarians,Sparky,3587,50.82,11.0
Mortar,The Log,3583,53.34,6.0
Goblin Gang,Goblin Giant,3580,27.26,9.0
Royal Delivery,Valkyrie,3579,50.99,7.0
Giant Skeleton,Skeleton Barrel,3579,44.84,9.0
Magic Archer,Prince,3578,54.33,9.0
Witch,X-Bow,3575,50.52,11.0
Rocket,Royal Ghost,3567,55.48,9.0
Electro Spirit,Goblins,3566,29.73,3.0
Prince,Tombstone,3561,53.66,8.0
Royal Hogs,Tesla,3559,50.21,9.0
Night Witch,Tornado,3558,32.91,7.0
Battle Ram,Bomb Tower,3554,54.59,8.0
Princess,Tombstone,3548,54.43,6.0
Poison,Prince,3548,39.04,9.0
Hog Rider,Royal Giant,3545,52.75,10.0
Mini P.E.K.K.A,X-Bow,3544,50.73,10.0
Prince,Skeleton Barrel,3539,47.41,8.0
Lightning,Lumberjack,3528,32.57,10.0
Lightning,Mega Knight,3526,43.93,13.0
Royal Recruits,The Log,3522,54.83,9.0
P.E.K.K.A,Royal Recruits,3517,43.1,14.0
Flying Machine,Skeleton Army,3513,51.38,7.0
Skeletons,Tornado,3512,45.53,4.0
Fireball,Fisherman,3508,45.18,7.0
Bowler,Skeleton Army,3507,54.21,8.0
Hunter,Prince,3503,45.08,9.0
Electro Dragon,Ice Wizard,3496,39.19,8.0
Baby Dragon,Goblins,3492,55.73,6.0
Golden Knight,Minions,3489,53.43,7.0
Royal Hogs,Zap,3486,55.13,7.0
Dark Prince,Poison,3484,39.52,8.0
Elite Barbarians,Freeze,3484,53.13,10.0
Ice Spirit,Miner,3480,48.94,4.0
Magic Archer,Miner,3477,39.43,7.0
Electro Dragon,Skeletons,3477,53.09,6.0
Balloon,Bomb Tower,3473,34.35,9.0
Arrows,Fisherman,3472,42.31,6.0
Dart Goblin,Furnace,3471,54.83,7.0
Bomber,Princess,3463,54.89,5.0
Tesla,Tornado,3462,45.84,7.0
Bomber,Night Witch,3460,39.05,6.0
Goblin Hut,Zap,3452,54.61,6.0
Inferno Tower,Vines,3452,53.59,8.0
Fireball,Furnace,3438,55.12,8.0
Golden Knight,Royal Hogs,3429,39.57,9.0
Cannon,Electro Dragon,3427,54.48,8.0
Barbarians,Golden Knight,3427,53.6,9.0
Earthquake,Knight,3424,51.81,6.0
Mega Knight,Rocket,3423,51.97,13.0
Elite Barbarians,Vines,3420,53.51,9.0
Fisherman,Hunter,3420,38.13,7.0
Elixir Collector,Golem,3419,40.86,14.0
Hunter,Zap,3417,45.98,6.0
Ram Rider,Skeletons,3414,55.39,6.0
Archers,Royal Giant,3412,49.44,9.0
Goblin Gang,Mighty Miner,3411,52.92,7.0
Poison,Ram Rider,3406,32.77,9.0
Executioner,Rage,3403,52.45,7.0
Fireball,Mortar,3402,54.82,8.0
Royal Recruits,Valkyrie,3402,55.09,11.0
Baby Dragon,Magic Archer,3400,53.71,8.0
Poison,Vines,3399,50.54,7.0
Boss Bandit,P.E.K.K.A,3396,50.74,13.0
Suspicious Bush,The Log,3389,53.2,4.0
P.E.K.K.A,Skeleton King,3388,52.89,11.0
Furnace,Skeletons,3385,52.58,5.0
Lightning,Minions,3385,33.26,9.0
Balloon,Executioner,3382,52.99,10.0
Goblin Hut,Prince,3382,54.49,9.0
Bomber,Skeleton Dragons,3380,43.25,6.0
Golem,Wizard,3380,52.51,13.0
Barbarians,Electro Dragon,3379,52.12,10.0
Ice Wizard,Prince,3378,54.44,8.0
Guards,Royal Hogs,3376,51.27,8.0
Elite Barbarians,Wall Breakers,3375,52.18,8.0
Lightning,P.E.K.K.A,3375,36.56,13.0
Dart Goblin,Electro Dragon,3374,52.4,8.0
Rage,Vines,3373,50.79,5.0
Giant Snowball,Vines,3373,51.76,5.0
Baby Dragon,Berserker,3370,52.26,6.0
Firecracker,Poison,3367,54.89,7.0
Electro Wizard,Minion Horde,3362,55.98,9.0
Boss Bandit,Prince,3361,52.81,11.0
Cannon,Rocket,3356,51.61,9.0
Giant Snowball,Princess,3351,53.66,5.0
Giant Skeleton,Royal Ghost,3350,53.37,9.0
Skeleton Barrel,Vines,3349,52.34,6.0
Skeleton Army,Zappies,3349,51.99,7.0
Golden Knight,Ice Wizard,3344,52.72,7.0
Guards,Spear Goblins,3340,46.71,5.0
Giant,Miner,3337,25.02,8.0
Archer Queen,Bats,3336,37.95,7.0
Balloon,Bomber,3335,46.96,7.0
Bomb Tower,Guards,3335,38.05,7.0
Mega Knight,Tornado,3325,51.97,10.0
Prince,Rocket,3325,53.17,11.0
Electro Spirit,Hunter,3315,38.01,5.0
Clone,Wizard,3312,51.39,8.0
Inferno Dragon,Minion Horde,3309,53.55,9.0
Baby Dragon,Rocket,3307,52.25,10.0
Dark Prince,Spear Goblins,3307,40.34,6.0
Furnace,Goblin Gang,3305,54.74,7.0
Royal Delivery,Skeleton Army,3305,53.89,6.0
Furnace,Vines,3300,52.42,7.0
Balloon,Dark Prince,3297,53.96,9.0
Mighty Miner,Wall Breakers,3296,48.21,6.0
Elite Barbarians,Goblin Giant,3291,38.35,12.0
Clone,Skeleton Barrel,3287,48.13,6.0
Hunter,Skeletons,3286,46.56,5.0
Berserker,Cannon,3285,50.32,5.0
Golden Knight,Rage,3284,51.92,6.0
Elite Barbarians,Night Witch,3277,38.39,10.0
Baby Dragon,Skeleton Dragons,3276,53.45,8.0
Hog Rider,Royal Recruits,3276,53.94,11.0
Electro Wizard,Giant Skeleton,3272,53.27,10.0
Berserker,Valkyrie,3271,54.14,6.0
Archers,Ram Rider,3268,55.51,8.0
P.E.K.K.A,Wall Breakers,3265,54.52,9.0
Barbarians,Royal Recruits,3264,51.65,12.0
Mega Minion,Skeletons,3257,44.3,4.0
Lava Hound,Minions,3254,32.58,10.0
Mighty Miner,Mini P.E.K.K.A,3248,53.2,8.0
Mega Knight,Mother Witch,3245,51.34,11.0
Lava Hound,Lightning,3229,28.99,13.0
Ice Spirit,Spear Goblins,3222,45.81,3.0
Guards,Poison,3218,40.27,7.0
Firecracker,Royal Hogs,3218,50.25,8.0
Earthquake,Mighty Miner,3217,50.2,7.0
Baby Dragon,Fire Spirit,3213,49.21,5.0
Goblin Giant,Spear Goblins,3212,20.49,8.0
Princess,Rage,3211,53.07,5.0
Guards,Lumberjack,3209,53.76,7.0
Mirror,Rage,3209,45.62,3.0
Boss Bandit,Lightning,3207,28.13,12.0
Ice Golem,Valkyrie,3205,54.7,6.0
Bomb Tower,Giant Snowball,3204,36.89,6.0
Mega Minion,Tornado,3204,34.61,6.0
Goblins,Tombstone,3201,53.7,5.0
Golden Knight,Ram Rider,3200,53.56,9.0
Berserker,Firecracker,3199,42.7,5.0
Hog Rider,Little Prince,3198,55.91,7.0
Archer Queen,Skeletons,3196,47.18,6.0
Bats,Ice Golem,3183,54.07,4.0
Prince,Ram Rider,3181,57.25,10.0
Firecracker,Rocket,3181,53.29,9.0
Heal Spirit,Sparky,3179,36.49,7.0
Freeze,Guards,3178,47.92,7.0
Spear Goblins,Tesla,3177,49.39,6.0
Barbarian Barrel,Bomb Tower,3173,32.62,6.0
Goblin Gang,Magic Archer,3173,53.67,7.0
Guards,Lava Hound,3166,31.43,10.0
Prince,Royal Giant,3165,51.06,11.0
Dark Prince,Inferno Tower,3162,45.86,9.0
Golem,Prince,3161,35.59,13.0
Berserker,Mega Knight,3160,55.6,9.0
Goblin Cage,Golden Knight,3157,39.06,8.0
Dark Prince,Ice Wizard,3151,43.76,7.0
Electro Giant,Goblin Cage,3132,32.25,11.0
Ice Spirit,Royal Giant,3127,52.35,7.0
Furnace,Ice Spirit,3126,52.85,5.0
Giant Snowball,Mega Minion,3125,24.74,5.0
Electro Wizard,Heal Spirit,3123,38.84,5.0
Bandit,Cannon,3122,54.84,6.0
Electro Wizard,Lightning,3119,35.14,10.0
Bandit,Lumberjack,3118,56.74,7.0
Dart Goblin,Giant Skeleton,3118,56.74,9.0
Barbarian Barrel,Royal Giant,3118,41.95,8.0
Giant Skeleton,Skeletons,3116,47.14,7.0
Giant Skeleton,Knight,3114,57.74,9.0
Valkyrie,X-Bow,3114,50.71,10.0
Dark Prince,Electro Giant,3109,33.16,11.0
Fire Spirit,P.E.K.K.A,3106,49.45,8.0
Fire Spirit,Inferno Dragon,3106,48.29,5.0
Dart Goblin,Minion Horde,3104,50.93,8.0
Giant Snowball,Wall Breakers,3103,50.02,4.0
Guards,Rage,3101,48.02,5.0
Boss Bandit,Vines,3101,51.69,9.0
Golden Knight,Royal Recruits,3098,38.02,11.0
Ram Rider,Vines,3096,53.75,8.0
Flying Machine,Witch,3094,51.2,9.0
Balloon,Ice Golem,3089,43.48,7.0
Berserker,Skeletons,3089,45.58,3.0
Boss Bandit,Rage,3086,52.3,8.0
Mega Knight,Royal Recruits,3085,45.02,14.0
Elixir Golem,Skeleton King,3077,41.4,7.0
Graveyard,Mega Knight,3077,53.46,12.0
Electro Spirit,Electro Wizard,3065,51.39,5.0
Miner,Skeleton King,3065,47.37,7.0
Prince,Skeleton King,3063,52.4,9.0
Fireball,Golem,3057,52.31,12.0
Giant Snowball,Skeleton Barrel,3056,43.03,5.0
Giant Skeleton,Prince,3055,51.16,11.0
Mother Witch,The Log,3053,52.21,6.0
Archer Queen,Prince,3053,40.09,10.0
Dart Goblin,Magic Archer,3053,51.85,7.0
Archers,Skeleton Barrel,3052,55.34,6.0
Goblin Curse,Zap,3052,41.22,4.0
Inferno Dragon,Royal Giant,3052,52.1,10.0
Minion Horde,Royal Ghost,3051,54.15,8.0
Bats,Mortar,3049,46.8,6.0
Archers,Royal Hogs,3048,54.13,8.0
Goblin Barrel,Goblin Curse,3043,52.71,5.0
Bandit,Golden Knight,3043,49.29,7.0
Battle Ram,Goblin Gang,3040,53.39,7.0
Minions,Royal Giant,3040,54.11,9.0
Furnace,Wizard,3037,51.83,9.0
Arrows,Tornado,3037,43.73,6.0
Goblins,Royal Ghost,3023,60.44,5.0
Mega Minion,Mother Witch,3019,36.8,7.0
Fisherman,Skeletons,3018,43.11,4.0
Inferno Tower,Wall Breakers,3015,52.74,7.0
Barbarian Barrel,Inferno Tower,3015,48.96,7.0
Giant Skeleton,Guards,3014,41.47,9.0
Dark Prince,Electro Spirit,3013,47.16,5.0
Bandit,Ice Spirit,3011,54.63,4.0
Mother Witch,Witch,3011,50.38,9.0
Minion Horde,P.E.K.K.A,3004,50.63,12.0
Lightning,Skeletons,3004,44.24,7.0
Bats,Bomb Tower,3004,44.47,6.0
Knight,Mighty Miner,3002,52.1,7.0
Battle Healer,Witch,3002,52.53,9.0
Berserker,Tesla,3001,48.25,6.0
Fire Spirit,Royal Ghost,3000,60.6,4.0
Bomber,Tornado,2999,35.71,5.0
Boss Bandit,Wall Breakers,2998,52.67,8.0
Archers,Electro Dragon,2996,55.47,8.0
Mother Witch,Rage,2994,40.18,6.0
Bomb Tower,Dart Goblin,2992,53.91,7.0
Inferno Dragon,Magic Archer,2989,54.0,8.0
Freeze,Giant Snowball,2985,28.17,6.0
Tornado,Witch,2984,48.29,8.0
Archers,Freeze,2979,53.81,7.0
Lava Hound,Skeleton Army,2978,35.29,10.0
Electro Spirit,Rocket,2978,40.33,7.0
Barbarian Barrel,Furnace,2977,50.42,6.0
Executioner,Skeleton King,2974,52.96,9.0
Goblin Barrel,Mega Minion,2972,55.42,6.0
Lightning,Night Witch,2969,33.28,10.0
Rocket,Zap,2967,32.73,8.0
Bats,Night Witch,2960,38.85,6.0
Archer Queen,Zap,2960,42.53,7.0
Fire Spirit,Inferno Tower,2959,43.87,6.0
Mortar,Skeleton King,2958,45.13,8.0
Bowler,Mini P.E.K.K.A,2956,54.6,9.0
Night Witch,Skeleton King,2953,35.69,8.0
Berserker,Giant Snowball,2952,34.25,4.0
Barbarians,Skeleton King,2952,52.27,9.0
Guards,Ice Wizard,2950,52.27,6.0
Electro Spirit,Lightning,2950,30.31,7.0
Goblin Hut,Skeleton Dragons,2948,49.63,8.0
Dark Prince,Royal Hogs,2946,52.85,9.0
Elixir Collector,Lumberjack,2943,39.62,10.0
Electro Wizard,Royal Giant,2942,53.2,10.0
Bats,Furnace,2940,53.4,6.0
Musketeer,Vines,2925,52.65,7.0
Bomber,Giant Snowball,2925,47.35,4.0
Archers,Miner,2925,53.03,6.0
Executioner,Sparky,2924,52.91,11.0
Firecracker,Lightning,2922,37.34,9.0
Bowler,Hog Rider,2921,55.77,9.0
Inferno Tower,Skeleton Barrel,2920,49.59,8.0
Archer Queen,Wall Breakers,2916,39.51,7.0
Balloon,Elite Barbarians,2913,54.72,11.0
Ice Spirit,Ram Rider,2912,54.6,6.0
Bomb Tower,Inferno Dragon,2912,56.18,8.0
Berserker,Goblin Gang,2911,40.33,5.0
Berserker,Knight,2909,51.32,5.0
Freeze,Goblin Gang,2904,52.72,7.0
Clone,The Log,2903,49.57,5.0
Baby Dragon,Elixir Golem,2902,50.93,7.0
Battle Healer,Skeleton Army,2899,50.47,7.0
Freeze,Minion Horde,2898,42.62,9.0
Elite Barbarians,Golden Knight,2895,49.6,10.0
Electro Giant,The Log,2890,54.39,9.0
Goblin Gang,Royal Giant,2889,53.24,9.0
Rascals,The Log,2886,54.89,7.0
Fireball,Lava Hound,2881,32.8,11.0
Goblin Giant,Heal Spirit,2880,37.64,7.0
Dart Goblin,Goblin Giant,2880,32.36,9.0
Archer Queen,Cannon,2873,47.96,8.0
Executioner,Wall Breakers,2869,55.49,7.0
Bomber,Giant Skeleton,2868,44.11,8.0
Barbarian Barrel,Bomber,2866,43.55,4.0
Elite Barbarians,Inferno Tower,2861,53.72,11.0
Bomb Tower,Zap,2853,51.31,6.0
Mini P.E.K.K.A,Tornado,2852,47.02,7.0
Barbarians,Lumberjack,2851,50.61,9.0
Dark Prince,Magic Archer,2850,50.18,8.0
Mother Witch,Tornado,2847,34.04,7.0
Musketeer,Skeleton Dragons,2846,50.77,8.0
Freeze,Inferno Tower,2846,49.33,9.0
Barbarians,Royal Giant,2846,52.32,11.0
Clone,Mini P.E.K.K.A,2844,51.37,7.0
Musketeer,Wall Breakers,2844,54.85,6.0
Archers,Fire Spirit,2840,50.25,4.0
Elixir Collector,Tornado,2838,38.48,9.0
Battle Ram,Golden Knight,2837,47.94,8.0
Furnace,P.E.K.K.A,2837,54.49,11.0
Fireball,Mighty Miner,2836,53.6,8.0
Graveyard,Mini P.E.K.K.A,2833,51.18,9.0
Elixir Golem,Night Witch,2830,37.24,7.0
Bandit,Barbarians,2830,45.83,8.0
Fire Spirit,Tesla,2824,51.38,5.0
Cannon,Goblin Cage,2823,44.7,7.0
Firecracker,Royal Recruits,2821,50.48,10.0
Mother Witch,Sparky,2816,41.73,10.0
Mortar,Valkyrie,2815,55.88,8.0
Bandit,Skeletons,2814,54.51,4.0
Inferno Tower,Lumberjack,2809,55.36,9.0
Electro Giant,Mother Witch,2809,35.1,11.0
Miner,Tornado,2807,35.02,6.0
Earthquake,Royal Delivery,2803,47.34,6.0
Dart Goblin,Mirror,2791,48.26,4.0
Bomber,Electro Giant,2789,34.74,9.0
Barbarians,Elite Barbarians,2789,53.39,11.0
Golem,Guards,2786,33.88,11.0
Executioner,Tornado,2785,51.81,8.0
Furnace,Prince,2785,54.65,9.0
Inferno Dragon,Royal Recruits,2785,53.21,11.0
Dark Prince,Miner,2775,40.58,7.0
Mirror,Zap,2772,51.88,3.0
Firecracker,Tornado,2772,49.46,6.0
Minions,Ram Rider,2771,54.93,8.0
Goblin Gang,Lightning,2768,35.08,9.0
Golden Knight,Inferno Tower,2761,53.64,9.0
Knight,Mortar,2760,54.38,7.0
Hog Rider,Tornado,2759,51.36,7.0
Inferno Tower,Spear Goblins,2756,57.26,7.0
P.E.K.K.A,Royal Hogs,2755,50.02,12.0
Golden Knight,Zappies,2754,35.88,8.0
Guards,Hunter,2752,37.57,7.0
Heal Spirit,Royal Ghost,2748,34.35,4.0
Lightning,Wizard,2745,52.24,11.0
Little Prince,Tesla,2745,53.7,7.0
Archer Queen,Ice Spirit,2744,45.85,6.0
Electro Spirit,Tombstone,2740,50.58,4.0
Graveyard,Royal Ghost,2730,53.41,8.0
Goblin Curse,Wizard,2728,49.38,7.0
Boss Bandit,Minions,2725,54.46,9.0
Bandit,Boss Bandit,2725,38.75,9.0
Barbarian Barrel,Elixir Collector,2718,37.79,8.0
Elite Barbarians,Fire Spirit,2717,44.53,7.0
Cannon,Goblin Hut,2712,49.08,7.0
Mega Minion,The Log,2704,56.99,5.0
Battle Healer,Zap,2704,31.29,6.0
Bowler,Knight,2702,51.55,8.0
Goblin Gang,Tombstone,2698,53.0,6.0
Goblins,Ice Spirit,2697,49.2,3.0
Fireball,Mirror,2694,49.11,5.0
Inferno Dragon,Mother Witch,2692,39.97,8.0
Barbarians,Ram Rider,2691,54.74,10.0
Monk,The Log,2691,48.12,7.0
Hog Rider,Mirror,2690,50.89,5.0
Dark Prince,Heal Spirit,2688,37.57,5.0
Bats,Elixir Golem,2687,46.71,5.0
Barbarians,Ice Spirit,2686,53.2,6.0
Electro Wizard,Skeleton Barrel,2686,55.17,7.0
Sparky,Vines,2685,52.89,9.0
Golem,Valkyrie,2679,54.09,12.0
Prince,Royal Recruits,2678,52.54,12.0
Executioner,Ice Wizard,2676,53.62,8.0
Bomb Tower,Skeleton Dragons,2675,42.28,8.0
Ice Spirit,Magic Archer,2673,51.18,5.0
Knight,Minion Horde,2670,52.88,8.0
Fireball,Little Prince,2669,57.1,7.0
Arrows,X-Bow,2669,47.02,9.0
Golden Knight,Wall Breakers,2667,50.32,6.0
Princess,Spear Goblins,2666,56.83,5.0
Barbarian Barrel,Hunter,2664,37.27,6.0
Balloon,Giant,2663,24.11,10.0
Mortar,Witch,2663,55.84,9.0
Giant Skeleton,Mega Knight,2660,52.78,13.0
Bomb Tower,Mega Knight,2660,57.56,11.0
Skeletons,Sparky,2656,55.05,7.0
Firecracker,Goblin Cage,2649,54.4,7.0
Giant Skeleton,Ice Wizard,2648,33.99,9.0
Skeleton Dragons,Skeletons,2646,37.23,5.0
Electro Wizard,Goblin Machine,2644,29.95,9.0
Little Prince,Zap,2644,55.94,5.0
Electro Dragon,Elixir Collector,2638,39.65,11.0
Furnace,Inferno Dragon,2637,53.39,8.0
Magic Archer,Princess,2633,49.22,7.0
