,arena,card_name,outcome,count
680,Arena 10,Flying Machine,Won,403
681,Arena 10,Freeze,Lost,2368
682,Arena 10,Freeze,Won,1761
683,Arena 10,Furnace,Lost,986
684,Arena 10,Furnace,Won,1167
685,Arena 10,Giant,Lost,1593
686,Arena 10,Giant,Won,1044
687,Arena 10,Giant Skeleton,Lost,728
688,Arena 10,Giant Skeleton,Won,647
689,Arena 10,Giant Snowball,Lost,3508
690,Arena 10,Giant Snowball,Won,2626
691,Arena 10,Goblin Barrel,Lost,13619
692,Arena 10,Goblin Barrel,Won,13586
693,Arena 10,Goblin Cage,Lost,1245
694,Arena 10,Goblin Cage,Won,806
695,Arena 10,Goblin Drill,Lost,11
696,Arena 10,Goblin Drill,Won,9
697,Arena 10,Goblin Gang,Lost,4345
698,Arena 10,Goblin Gang,Won,3614
699,Arena 10,Goblin Giant,Lost,1036
700,Arena 10,Goblin Giant,Won,445
701,Arena 10,Goblin Hut,Lost,1370
702,Arena 10,Goblin Hut,Won,1221
703,Arena 10,Goblin Machine,Lost,1
704,Arena 10,Goblin Machine,Won,3
705,Arena 10,Goblins,Lost,827
706,Arena 10,Goblins,Won,605
707,Arena 10,Golem,Lost,1127
708,Arena 10,Golem,Won,1033
709,Arena 10,Graveyard,Lost,1
710,Arena 10,Graveyard,Won,3
711,Arena 10,Guards,Lost,3909
712,Arena 10,Guards,Won,3258
713,Arena 10,Hog Rider,Lost,9809
714,Arena 10,Hog Rider,Won,11246
715,Arena 10,Hunter,Lost,1058
716,Arena 10,Hunter,Won,900
717,Arena 10,Ice Golem,Lost,1407
718,Arena 10,Ice Golem,Won,888
719,Arena 10,Ice Spirit,Lost,3450
720,Arena 10,Ice Spirit,Won,3068
721,Arena 10,Ice Wizard,Lost,13
722,Arena 10,Ice Wizard,Won,35
723,Arena 10,Inferno Dragon,Lost,5483
724,Arena 10,Inferno Dragon,Won,6840
725,Arena 10,Inferno Tower,Lost,1976
726,Arena 10,Inferno Tower,Won,1395
727,Arena 10,Knight,Lost,4980
728,Arena 10,Knight,Won,5980
729,Arena 10,Lava Hound,Lost,2
730,Arena 10,Lava Hound,Won,11
731,Arena 10,Lightning,Lost,1637
732,Arena 10,Lightning,Won,505
733,Arena 10,Lumberjack,Lost,58
734,Arena 10,Lumberjack,Won,82
735,Arena 10,Magic Archer,Lost,46
736,Arena 10,Magic Archer,Won,89
737,Arena 10,Mega Knight,Lost,51
738,Arena 10,Mega Knight,Won,146
739,Arena 10,Mega Minion,Lost,1323
740,Arena 10,Mega Minion,Won,652
741,Arena 10,Miner,Lost,128
742,Arena 10,Miner,Won,255
743,Arena 10,Mini P.E.K.K.A,Lost,15967
744,Arena 10,Mini P.E.K.K.A,Won,17014
745,Arena 10,Minion Horde,Lost,908
746,Arena 10,Minion Horde,Won,968
747,Arena 10,Minions,Lost,2330
748,Arena 10,Minions,Won,2233
749,Arena 10,Mirror,Lost,18
750,Arena 10,Mirror,Won,21
751,Arena 10,Mortar,Lost,363
752,Arena 10,Mortar,Won,314
753,Arena 10,Mother Witch,Lost,1
754,Arena 10,Mother Witch,Won,1
755,Arena 10,Musketeer,Lost,3149
756,Arena 10,Musketeer,Won,3025
757,Arena 10,Night Witch,Won,8
758,Arena 10,P.E.K.K.A,Lost,3171
759,Arena 10,P.E.K.K.A,Won,2825
760,Arena 10,Poison,Lost,1710
761,Arena 10,Poison,Won,988
762,Arena 10,Prince,Lost,8787
763,Arena 10,Prince,Won,8015
764,Arena 10,Princess,Lost,94
765,Arena 10,Princess,Won,246
766,Arena 10,Rage,Lost,33
767,Arena 10,Rage,Won,37
768,Arena 10,Ram Rider,Lost,34
769,Arena 10,Ram Rider,Won,68
770,Arena 10,Rascals,Lost,5
771,Arena 10,Rascals,Won,7
772,Arena 10,Rocket,Lost,954
773,Arena 10,Rocket,Won,450
774,Arena 10,Royal Delivery,Lost,1
775,Arena 10,Royal Delivery,Won,3
776,Arena 10,Royal Ghost,Lost,6137
777,Arena 10,Royal Ghost,Won,8738
778,Arena 10,Royal Giant,Lost,541
779,Arena 10,Royal Giant,Won,659
780,Arena 10,Royal Hogs,Lost,2536
781,Arena 10,Royal Hogs,Won,2323
782,Arena 10,Royal Recruits,Lost,1014
783,Arena 10,Royal Recruits,Won,777
784,Arena 10,Rune Giant,Lost,182
785,Arena 10,Rune Giant,Won,194
786,Arena 10,Skeleton Army,Lost,20214
787,Arena 10,Skeleton Army,Won,22000
788,Arena 10,Skeleton Barrel,Lost,1324
789,Arena 10,Skeleton Barrel,Won,1058
790,Arena 10,Skeleton Dragons,Lost,816
791,Arena 10,Skeleton Dragons,Won,716
792,Arena 10,Skeletons,Lost,3077
793,Arena 10,Skeletons,Won,2832
794,Arena 10,Sparky,Lost,3
795,Arena 10,Sparky,Won,3
796,Arena 10,Spear Goblins,Lost,1978
797,Arena 10,Spear Goblins,Won,1635
798,Arena 10,Tesla,Lost,1986
799,Arena 10,Tesla,Won,2126
800,Arena 10,The Log,Lost,82
801,Arena 10,The Log,Won,204
802,Arena 10,Three Musketeers,Lost,232
803,Arena 10,Three Musketeers,Won,175
804,Arena 10,Tombstone,Lost,1606
805,Arena 10,Tombstone,Won,1382
806,Arena 10,Tornado,Lost,11
807,Arena 10,Tornado,Won,22
808,Arena 10,Valkyrie,Lost,9570
809,Arena 10,Valkyrie,Won,10534
810,Arena 10,Vines,Lost,2448
811,Arena 10,Vines,Won,2898
812,Arena 10,Wall Breakers,Lost,98
813,Arena 10,Wall Breakers,Won,177
814,Arena 10,Witch,Lost,16722
815,Arena 10,Witch,Won,18644
816,Arena 10,Wizard,Lost,11604
817,Arena 10,Wizard,Won,11507
818,Arena 10,X-Bow,Lost,1160
819,Arena 10,X-Bow,Won,985
820,Arena 10,Zap,Lost,5593
821,Arena 10,Zap,Won,5369
822,Arena 10,Zappies,Lost,867
823,Arena 10,Zappies,Won,816
824,Arena 7,Archers,Lost,2221
825,Arena 7,Archers,Won,1994
826,Arena 7,Arrows,Lost,7888
827,Arena 7,Arrows,Won,6470
828,Arena 7,Baby Dragon,Lost,8015
829,Arena 7,Baby Dragon,Won,8468
830,Arena 7,Balloon,Lost,802
831,Arena 7,Balloon,Won,1000
832,Arena 7,Bandit,Lost,1
833,Arena 7,Bandit,Won,1
834,Arena 7,Barbarian Barrel,Lost,33
835,Arena 7,Barbarian Barrel,Won,91
836,Arena 7,Barbarian Hut,Lost,2
837,Arena 7,Barbarian Hut,Won,2
838,Arena 7,Barbarians,Lost,7204
839,Arena 7,Barbarians,Won,6949
840,Arena 7,Bats,Lost,2766
841,Arena 7,Bats,Won,2551
842,Arena 7,Battle Ram,Lost,3484
843,Arena 7,Battle Ram,Won,2954
844,Arena 7,Bomb Tower,Lost,983
845,Arena 7,Bomb Tower,Won,988
846,Arena 7,Bomber,Lost,2273
847,Arena 7,Bomber,Won,1751
848,Arena 7,Cannon,Lost,3979
849,Arena 7,Cannon,Won,3419
850,Arena 7,Dark Prince,Lost,1602
851,Arena 7,Dark Prince,Won,2024
852,Arena 7,Dart Goblin,Lost,1
853,Arena 7,Dart Goblin,Won,9
854,Arena 7,Electro Dragon,Lost,75
855,Arena 7,Electro Dragon,Won,160
856,Arena 7,Electro Giant,Won,1
857,Arena 7,Electro Spirit,Lost,3687
858,Arena 7,Electro Spirit,Won,1754
859,Arena 7,Electro Wizard,Lost,1
860,Arena 7,Electro Wizard,Won,12
861,Arena 7,Elite Barbarians,Won,2
862,Arena 7,Executioner,Lost,72
863,Arena 7,Executioner,Won,136
864,Arena 7,Fire Spirit,Lost,1832
865,Arena 7,Fire Spirit,Won,862
866,Arena 7,Fireball,Lost,7736
867,Arena 7,Fireball,Won,7334
868,Arena 7,Firecracker,Lost,25
869,Arena 7,Firecracker,Won,55
870,Arena 7,Flying Machine,Lost,198
871,Arena 7,Flying Machine,Won,226
872,Arena 7,Freeze,Won,3
873,Arena 7,Furnace,Lost,14
874,Arena 7,Furnace,Won,36
875,Arena 7,Giant,Lost,2047
876,Arena 7,Giant,Won,1403
877,Arena 7,Giant Skeleton,Lost,34
878,Arena 7,Giant Skeleton,Won,70
879,Arena 7,Giant Snowball,Lost,1
880,Arena 7,Giant Snowball,Won,2
881,Arena 7,Goblin Barrel,Lost,8124
882,Arena 7,Goblin Barrel,Won,9055
883,Arena 7,Goblin Cage,Lost,863
884,Arena 7,Goblin Cage,Won,670
885,Arena 7,Goblin Drill,Lost,4
886,Arena 7,Goblin Drill,Won,16
887,Arena 7,Goblin Gang,Lost,15
888,Arena 7,Goblin Gang,Won,38
889,Arena 7,Goblin Giant,Lost,1
890,Arena 7,Goblin Giant,Won,2
891,Arena 7,Goblin Hut,Lost,1071
892,Arena 7,Goblin Hut,Won,1204
893,Arena 7,Goblin Machine,Lost,1
894,Arena 7,Goblin Machine,Won,11
895,Arena 7,Goblins,Lost,1548
896,Arena 7,Goblins,Won,1065
897,Arena 7,Golem,Lost,27
898,Arena 7,Golem,Won,29
899,Arena 7,Guards,Lost,3370
900,Arena 7,Guards,Won,3389
901,Arena 7,Hog Rider,Lost,9056
902,Arena 7,Hog Rider,Won,9250
903,Arena 7,Hunter,Lost,51
904,Arena 7,Hunter,Won,85
905,Arena 7,Ice Golem,Lost,1
906,Arena 7,Ice Spirit,Won,1
907,Arena 7,Inferno Dragon,Lost,1589
908,Arena 7,Inferno Dragon,Won,2334
909,Arena 7,Inferno Tower,Lost,1975
910,Arena 7,Inferno Tower,Won,1895
911,Arena 7,Knight,Lost,5041
912,Arena 7,Knight,Won,3415
913,Arena 7,Lava Hound,Lost,3
914,Arena 7,Lava Hound,Won,1
915,Arena 7,Lightning,Lost,1
916,Arena 7,Lightning,Won,4
917,Arena 7,Lumberjack,Lost,2
918,Arena 7,Magic Archer,Lost,2
919,Arena 7,Magic Archer,Won,12
920,Arena 7,Mega Knight,Lost,4
921,Arena 7,Mega Knight,Won,20
922,Arena 7,Mega Minion,Lost,992
923,Arena 7,Mega Minion,Won,804
924,Arena 7,Miner,Lost,46
925,Arena 7,Miner,Won,99
926,Arena 7,Mini P.E.K.K.A,Lost,12757
927,Arena 7,Mini P.E.K.K.A,Won,14367
928,Arena 7,Minion Horde,Lost,15
929,Arena 7,Minion Horde,Won,24
930,Arena 7,Minions,Lost,2668
931,Arena 7,Minions,Won,2327
932,Arena 7,Mirror,Lost,2
933,Arena 7,Mirror,Won,3
934,Arena 7,Mortar,Lost,188
935,Arena 7,Mortar,Won,258
936,Arena 7,Mother Witch,Won,1
937,Arena 7,Musketeer,Lost,3421
938,Arena 7,Musketeer,Won,2778
939,Arena 7,P.E.K.K.A,Lost,6616
940,Arena 7,P.E.K.K.A,Won,5720
941,Arena 7,Poison,Lost,3
942,Arena 7,Poison,Won,1
943,Arena 7,Prince,Lost,2968
944,Arena 7,Prince,Won,3898
945,Arena 7,Princess,Lost,15
946,Arena 7,Princess,Won,36
947,Arena 7,Rage,Lost,2
948,Arena 7,Rage,Won,7
949,Arena 7,Ram Rider,Lost,4
950,Arena 7,Ram Rider,Won,7
951,Arena 7,Rascals,Lost,3
952,Arena 7,Rascals,Won,18
953,Arena 7,Rocket,Lost,948
954,Arena 7,Rocket,Won,720
955,Arena 7,Royal Delivery,Won,1
956,Arena 7,Royal Ghost,Lost,4814
957,Arena 7,Royal Ghost,Won,7690
958,Arena 7,Royal Giant,Lost,1323
959,Arena 7,Royal Giant,Won,1429
960,Arena 7,Royal Hogs,Lost,1445
961,Arena 7,Royal Hogs,Won,1662
962,Arena 7,Royal Recruits,Lost,1588
963,Arena 7,Royal Recruits,Won,1729
964,Arena 7,Skeleton Army,Lost,13235
965,Arena 7,Skeleton Army,Won,15700
966,Arena 7,Skeleton Barrel,Lost,2
967,Arena 7,Skeleton Barrel,Won,4
968,Arena 7,Skeleton Dragons,Lost,1247
969,Arena 7,Skeleton Dragons,Won,1475
970,Arena 7,Skeletons,Lost,3823
971,Arena 7,Skeletons,Won,1928
972,Arena 7,Spear Goblins,Lost,2366
973,Arena 7,Spear Goblins,Won,2135
974,Arena 7,Tesla,Lost,93
975,Arena 7,Tesla,Won,186
976,Arena 7,The Log,Lost,3
977,Arena 7,The Log,Won,6
978,Arena 7,Three Musketeers,Lost,464
979,Arena 7,Three Musketeers,Won,515
980,Arena 7,Tombstone,Lost,1473
981,Arena 7,Tombstone,Won,1198
982,Arena 7,Tornado,Lost,2
983,Arena 7,Tornado,Won,5
984,Arena 7,Valkyrie,Lost,6202
985,Arena 7,Valkyrie,Won,6746
986,Arena 7,Wall Breakers,Lost,13
987,Arena 7,Wall Breakers,Won,35
988,Arena 7,Witch,Lost,11773
989,Arena 7,Witch,Won,13083
990,Arena 7,Wizard,Lost,8994
991,Arena 7,Wizard,Won,9236
992,Arena 7,X-Bow,Lost,3
993,Arena 7,X-Bow,Won,1
994,Arena 7,Zap,Lost,3596
995,Arena 7,Zap,Won,3729
996,Arena 8,Archers,Lost,2214
997,Arena 8,Archers,Won,2212
998,Arena 8,Arrows,Lost,7677
999,Arena 8,Arrows,Won,6911
1000,Arena 8,Baby Dragon,Lost,9492
1001,Arena 8,Baby Dragon,Won,9538
1002,Arena 8,Balloon,Lost,1885
1003,Arena 8,Balloon,Won,1826
1004,Arena 8,Bandit,Lost,1
1005,Arena 8,Bandit,Won,6
1006,Arena 8,Barbarian Barrel,Lost,48
1007,Arena 8,Barbarian Barrel,Won,136
1008,Arena 8,Barbarian Hut,Won,2
1009,Arena 8,Barbarians,Lost,6183
1010,Arena 8,Barbarians,Won,5612
1011,Arena 8,Bats,Lost,2980
1012,Arena 8,Bats,Won,2749
1013,Arena 8,Battle Healer,Lost,761
1014,Arena 8,Battle Healer,Won,774
1015,Arena 8,Battle Ram,Lost,2452
1016,Arena 8,Battle Ram,Won,2186
1017,Arena 8,Bomb Tower,Lost,815
1018,Arena 8,Bomb Tower,Won,876
1019,Arena 8,Bomber,Lost,2279
1020,Arena 8,Bomber,Won,1827
1021,Arena 8,Cannon,Lost,3825
1022,Arena 8,Cannon,Won,4036
1023,Arena 8,Clone,Won,1
1024,Arena 8,Dark Prince,Lost,3403
1025,Arena 8,Dark Prince,Won,3266
1026,Arena 8,Dart Goblin,Lost,8
1027,Arena 8,Dart Goblin,Won,23
1028,Arena 8,Electro Dragon,Lost,180
1029,Arena 8,Electro Dragon,Won,317
1030,Arena 8,Electro Giant,Won,1
1031,Arena 8,Electro Spirit,Lost,2858
1032,Arena 8,Electro Spirit,Won,1551
1033,Arena 8,Electro Wizard,Won,4
1034,Arena 8,Elite Barbarians,Won,1
1035,Arena 8,Elixir Collector,Won,1
1036,Arena 8,Elixir Golem,Lost,1
1037,Arena 8,Elixir Golem,Won,2
1038,Arena 8,Executioner,Lost,109
1039,Arena 8,Executioner,Won,214
1040,Arena 8,Fire Spirit,Lost,1926
1041,Arena 8,Fire Spirit,Won,710
1042,Arena 8,Fireball,Lost,7091
1043,Arena 8,Fireball,Won,6699
1044,Arena 8,Firecracker,Lost,21
1045,Arena 8,Firecracker,Won,24
1046,Arena 8,Fisherman,Won,3
1047,Arena 8,Flying Machine,Lost,350
1048,Arena 8,Flying Machine,Won,211
1049,Arena 8,Freeze,Lost,1012
1050,Arena 8,Freeze,Won,1019
1051,Arena 8,Furnace,Lost,7
1052,Arena 8,Furnace,Won,25
1053,Arena 8,Giant,Lost,1832
1054,Arena 8,Giant,Won,1242
1055,Arena 8,Giant Skeleton,Lost,635
1056,Arena 8,Giant Skeleton,Won,644
1057,Arena 8,Giant Snowball,Lost,1970
1058,Arena 8,Giant Snowball,Won,2112
1059,Arena 8,Goblin Barrel,Lost,9602
1060,Arena 8,Goblin Barrel,Won,10021
1061,Arena 8,Goblin Cage,Lost,1105
1062,Arena 8,Goblin Cage,Won,737
1063,Arena 8,Goblin Drill,Lost,5
1064,Arena 8,Goblin Drill,Won,8
1065,Arena 8,Goblin Gang,Lost,16
1066,Arena 8,Goblin Gang,Won,36
1067,Arena 8,Goblin Giant,Lost,1
1068,Arena 8,Goblin Giant,Won,1
1069,Arena 8,Goblin Hut,Lost,832
1070,Arena 8,Goblin Hut,Won,1125
1071,Arena 8,Goblin Machine,Won,3
1072,Arena 8,Goblins,Lost,1629
1073,Arena 8,Goblins,Won,1073
1074,Arena 8,Golem,Lost,15
1075,Arena 8,Golem,Won,20
1076,Arena 8,Guards,Lost,2878
1077,Arena 8,Guards,Won,2793
1078,Arena 8,Heal Spirit,Lost,1
1079,Arena 8,Hog Rider,Lost,8315
1080,Arena 8,Hog Rider,Won,9078
1081,Arena 8,Hunter,Lost,57
1082,Arena 8,Hunter,Won,75
1083,Arena 8,Ice Golem,Lost,935
1084,Arena 8,Ice Golem,Won,862
1085,Arena 8,Ice Spirit,Lost,1840
1086,Arena 8,Ice Spirit,Won,2055
1087,Arena 8,Ice Wizard,Lost,1
1088,Arena 8,Ice Wizard,Won,9
1089,Arena 8,Inferno Dragon,Lost,2768
1090,Arena 8,Inferno Dragon,Won,3597
1091,Arena 8,Inferno Tower,Lost,1925
1092,Arena 8,Inferno Tower,Won,1668
1093,Arena 8,Knight,Lost,4279
1094,Arena 8,Knight,Won,3783
1095,Arena 8,Lava Hound,Lost,2
1096,Arena 8,Lava Hound,Won,2
1097,Arena 8,Lightning,Lost,330
1098,Arena 8,Lightning,Won,336
1099,Arena 8,Lumberjack,Lost,1
1100,Arena 8,Lumberjack,Won,4
1101,Arena 8,Magic Archer,Lost,19
1102,Arena 8,Magic Archer,Won,37
1103,Arena 8,Mega Knight,Lost,5
1104,Arena 8,Mega Knight,Won,34
1105,Arena 8,Mega Minion,Lost,882
1106,Arena 8,Mega Minion,Won,608
1107,Arena 8,Miner,Lost,36
1108,Arena 8,Miner,Won,98
1109,Arena 8,Mini P.E.K.K.A,Lost,13455
1110,Arena 8,Mini P.E.K.K.A,Won,14736
1111,Arena 8,Minion Horde,Lost,16
1112,Arena 8,Minion Horde,Won,23
1113,Arena 8,Minions,Lost,2822
1114,Arena 8,Minions,Won,2371
1115,Arena 8,Mirror,Lost,2
1116,Arena 8,Mirror,Won,5
1117,Arena 8,Mortar,Lost,262
1118,Arena 8,Mortar,Won,282
1119,Arena 8,Mother Witch,Lost,1
1120,Arena 8,Musketeer,Lost,3434
1121,Arena 8,Musketeer,Won,3114
1122,Arena 8,Night Witch,Lost,3
1123,Arena 8,Night Witch,Won,3
1124,Arena 8,P.E.K.K.A,Lost,4200
1125,Arena 8,P.E.K.K.A,Won,4036
1126,Arena 8,Poison,Lost,4
1127,Arena 8,Poison,Won,3
1128,Arena 8,Prince,Lost,5904
1129,Arena 8,Prince,Won,6131
1130,Arena 8,Princess,Lost,16
1131,Arena 8,Princess,Won,65
1132,Arena 8,Rage,Lost,8
1133,Arena 8,Rage,Won,6
1134,Arena 8,Ram Rider,Lost,7
1135,Arena 8,Ram Rider,Won,7
1136,Arena 8,Rascals,Lost,7
1137,Arena 8,Rascals,Won,10
1138,Arena 8,Rocket,Lost,382
1139,Arena 8,Rocket,Won,402
1140,Arena 8,Royal Delivery,Lost,1
1141,Arena 8,Royal Delivery,Won,3
1142,Arena 8,Royal Ghost,Lost,5840
1143,Arena 8,Royal Ghost,Won,8263
1144,Arena 8,Royal Giant,Lost,951
1145,Arena 8,Royal Giant,Won,906
1146,Arena 8,Royal Hogs,Lost,2448
1147,Arena 8,Royal Hogs,Won,2218
1148,Arena 8,Royal Recruits,Lost,918
1149,Arena 8,Royal Recruits,Won,878
1150,Arena 8,Skeleton Army,Lost,15769
1151,Arena 8,Skeleton Army,Won,17037
1152,Arena 8,Skeleton Barrel,Lost,5
1153,Arena 8,Skeleton Barrel,Won,5
1154,Arena 8,Skeleton Dragons,Lost,1296
1155,Arena 8,Skeleton Dragons,Won,1191
1156,Arena 8,Skeletons,Lost,3216
1157,Arena 8,Skeletons,Won,1989
1158,Arena 8,Spear Goblins,Lost,2791
1159,Arena 8,Spear Goblins,Won,2108
1160,Arena 8,Tesla,Lost,170
1161,Arena 8,Tesla,Won,283
1162,Arena 8,The Log,Lost,10
1163,Arena 8,The Log,Won,27
1164,Arena 8,Three Musketeers,Lost,305
1165,Arena 8,Three Musketeers,Won,396
1166,Arena 8,Tombstone,Lost,1783
1167,Arena 8,Tombstone,Won,1274
1168,Arena 8,Tornado,Lost,4
1169,Arena 8,Tornado,Won,5
1170,Arena 8,Valkyrie,Lost,6223
1171,Arena 8,Valkyrie,Won,7175
1172,Arena 8,Vines,Lost,1558
1173,Arena 8,Vines,Won,1811
1174,Arena 8,Wall Breakers,Lost,28
1175,Arena 8,Wall Breakers,Won,62
1176,Arena 8,Witch,Lost,12869
1177,Arena 8,Witch,Won,14582
1178,Arena 8,Wizard,Lost,9325
1179,Arena 8,Wizard,Won,9808
1180,Arena 8,X-Bow,Lost,10
1181,Arena 8,X-Bow,Won,31
1182,Arena 8,Zap,Lost,4487
1183,Arena 8,Zap,Won,3938
1184,Arena 9,Archers,Lost,2690
1185,Arena 9,Archers,Won,2895
1186,Arena 9,Arrows,Lost,10218
1187,Arena 9,Arrows,Won,9333
1188,Arena 9,Baby Dragon,Lost,12202
1189,Arena 9,Baby Dragon,Won,11680
1190,Arena 9,Balloon,Lost,2660
1191,Arena 9,Balloon,Won,2203
1192,Arena 9,Bandit,Lost,6
1193,Arena 9,Bandit,Won,13
1194,Arena 9,Barbarian Barrel,Lost,1392
1195,Arena 9,Barbarian Barrel,Won,1596
1196,Arena 9,Barbarian Hut,Lost,418
1197,Arena 9,Barbarian Hut,Won,318
1198,Arena 9,Barbarians,Lost,6507
1199,Arena 9,Barbarians,Won,5913
1200,Arena 9,Bats,Lost,3586
1201,Arena 9,Bats,Won,3240
1202,Arena 9,Battle Healer,Lost,380
1203,Arena 9,Battle Healer,Won,412
1204,Arena 9,Battle Ram,Lost,1928
1205,Arena 9,Battle Ram,Won,1927
1206,Arena 9,Berserker,Lost,914
1207,Arena 9,Berserker,Won,982
1208,Arena 9,Bomb Tower,Lost,1196
1209,Arena 9,Bomb Tower,Won,1257
1210,Arena 9,Bomber,Lost,2418
1211,Arena 9,Bomber,Won,2351
1212,Arena 9,Bowler,Lost,1
1213,Arena 9,Cannon,Lost,4920
1214,Arena 9,Cannon,Won,5335
1215,Arena 9,Dark Prince,Lost,3953
1216,Arena 9,Dark Prince,Won,3594
1217,Arena 9,Dart Goblin,Lost,4332
1218,Arena 9,Dart Goblin,Won,4908
1219,Arena 9,Electro Dragon,Lost,253
1220,Arena 9,Electro Dragon,Won,399
1221,Arena 9,Electro Giant,Lost,1
1222,Arena 9,Electro Giant,Won,2
1223,Arena 9,Electro Spirit,Lost,2287
1224,Arena 9,Electro Spirit,Won,1876
1225,Arena 9,Electro Wizard,Lost,3
1226,Arena 9,Electro Wizard,Won,10
1227,Arena 9,Elite Barbarians,Won,1
1228,Arena 9,Elixir Collector,Won,2
1229,Arena 9,Elixir Golem,Won,2
1230,Arena 9,Executioner,Lost,327
1231,Arena 9,Executioner,Won,515
1232,Arena 9,Fire Spirit,Lost,1020
1233,Arena 9,Fire Spirit,Won,765
1234,Arena 9,Fireball,Lost,7460
1235,Arena 9,Fireball,Won,7663
1236,Arena 9,Firecracker,Lost,17
1237,Arena 9,Firecracker,Won,57
1238,Arena 9,Fisherman,Won,1
1239,Arena 9,Flying Machine,Lost,566
1240,Arena 9,Flying Machine,Won,215
1241,Arena 9,Freeze,Lost,2384
1242,Arena 9,Freeze,Won,2043
1243,Arena 9,Furnace,Lost,29
1244,Arena 9,Furnace,Won,42
1245,Arena 9,Giant,Lost,2469
1246,Arena 9,Giant,Won,1241
1247,Arena 9,Giant Skeleton,Lost,1200
1248,Arena 9,Giant Skeleton,Won,905
1249,Arena 9,Giant Snowball,Lost,2475
1250,Arena 9,Giant Snowball,Won,2176
1251,Arena 9,Goblin Barrel,Lost,13062
1252,Arena 9,Goblin Barrel,Won,12914
1253,Arena 9,Goblin Cage,Lost,1003
1254,Arena 9,Goblin Cage,Won,713
1255,Arena 9,Goblin Drill,Lost,7
1256,Arena 9,Goblin Drill,Won,20
1257,Arena 9,Goblin Gang,Lost,3023
1258,Arena 9,Goblin Gang,Won,2677
1259,Arena 9,Goblin Giant,Lost,736
1260,Arena 9,Goblin Giant,Won,500
1261,Arena 9,Goblin Hut,Lost,1231
1262,Arena 9,Goblin Hut,Won,1364
1263,Arena 9,Goblin Machine,Lost,5
1264,Arena 9,Goblin Machine,Won,11
1265,Arena 9,Goblins,Lost,1420
1266,Arena 9,Goblins,Won,888
1267,Arena 9,Goblinstein,Won,1
1268,Arena 9,Golem,Lost,12
1269,Arena 9,Golem,Won,35
1270,Arena 9,Graveyard,Lost,3
1271,Arena 9,Graveyard,Won,1
1272,Arena 9,Guards,Lost,3147
1273,Arena 9,Guards,Won,3135
1274,Arena 9,Hog Rider,Lost,8942
1275,Arena 9,Hog Rider,Won,10941
1276,Arena 9,Hunter,Lost,53
1277,Arena 9,Hunter,Won,84
1278,Arena 9,Ice Golem,Lost,1178
1279,Arena 9,Ice Golem,Won,772
1280,Arena 9,Ice Spirit,Lost,2610
1281,Arena 9,Ice Spirit,Won,2402
1282,Arena 9,Ice Wizard,Lost,4
1283,Arena 9,Ice Wizard,Won,17
1284,Arena 9,Inferno Dragon,Lost,4730
1285,Arena 9,Inferno Dragon,Won,6013
1286,Arena 9,Inferno Tower,Lost,2214
1287,Arena 9,Inferno Tower,Won,1823
1288,Arena 9,Knight,Lost,4109
1289,Arena 9,Knight,Won,5004
1290,Arena 9,Lava Hound,Lost,1
1291,Arena 9,Lava Hound,Won,4
1292,Arena 9,Lightning,Lost,883
1293,Arena 9,Lightning,Won,546
1294,Arena 9,Lumberjack,Lost,33
1295,Arena 9,Lumberjack,Won,43
1296,Arena 9,Magic Archer,Lost,27
1297,Arena 9,Magic Archer,Won,54
1298,Arena 9,Mega Knight,Lost,29
1299,Arena 9,Mega Knight,Won,89
1300,Arena 9,Mega Minion,Lost,1369
1301,Arena 9,Mega Minion,Won,695
1302,Arena 9,Miner,Lost,78
1303,Arena 9,Miner,Won,164
1304,Arena 9,Mini P.E.K.K.A,Lost,16672
1305,Arena 9,Mini P.E.K.K.A,Won,17602
1306,Arena 9,Minion Horde,Lost,53
1307,Arena 9,Minion Horde,Won,85
1308,Arena 9,Minions,Lost,2921
1309,Arena 9,Minions,Won,2609
1310,Arena 9,Mirror,Lost,11
1311,Arena 9,Mirror,Won,10
1312,Arena 9,Monk,Lost,1
1313,Arena 9,Monk,Won,1
1314,Arena 9,Mortar,Lost,336
1315,Arena 9,Mortar,Won,326
1316,Arena 9,Mother Witch,Won,1
1317,Arena 9,Musketeer,Lost,3775
1318,Arena 9,Musketeer,Won,3320
1319,Arena 9,Night Witch,Lost,4
1320,Arena 9,Night Witch,Won,1
1321,Arena 9,P.E.K.K.A,Lost,3723
1322,Arena 9,P.E.K.K.A,Won,3445
1323,Arena 9,Poison,Lost,737
1324,Arena 9,Poison,Won,685
1325,Arena 9,Prince,Lost,9752
1326,Arena 9,Prince,Won,8363
1327,Arena 9,Princess,Lost,72
1328,Arena 9,Princess,Won,213
1329,Arena 9,Rage,Lost,13
1330,Arena 9,Rage,Won,14
1331,Arena 9,Ram Rider,Lost,17
1332,Arena 9,Ram Rider,Won,33
1333,Arena 9,Rascals,Lost,5
1334,Arena 9,Rascals,Won,5
1335,Arena 9,Rocket,Lost,623
1336,Arena 9,Rocket,Won,507
1337,Arena 9,Royal Delivery,Lost,1
1338,Arena 9,Royal Delivery,Won,1
1339,Arena 9,Royal Ghost,Lost,6815
1340,Arena 9,Royal Ghost,Won,9798
1341,Arena 9,Royal Giant,Lost,725
1342,Arena 9,Royal Giant,Won,863
1343,Arena 9,Royal Hogs,Lost,3006
1344,Arena 9,Royal Hogs,Won,2568
